,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,STUDY ACCESSION,parentterm,color
12003,European,20440.0,25939698.0,Tsoi LC,Psoriasis,replication,2015-05-05,GCST002889,Immune system disorder,#3288bd
12004,European,11693.0,25939698.0,Tsoi LC,Psoriasis,initial,2015-05-05,GCST002889,Immune system disorder,#3288bd
12005,European,290.0,25944848.0,Athanasiu L,Pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002885,Neurological disorder,#3288bd
12006,European,290.0,25944848.0,Athanasiu L,Pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002885,Neurological disorder,#3288bd
12007,European,290.0,25944848.0,Athanasiu L,Pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002885,Neurological disorder,#3288bd
12008,European,290.0,25944848.0,Athanasiu L,Pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002885,Response to drug,#3288bd
12009,European,290.0,25944848.0,Athanasiu L,Pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002885,Other measurement,#3288bd
12010,European,829.0,25944848.0,Athanasiu L,Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002888,Neurological disorder,#3288bd
12011,European,829.0,25944848.0,Athanasiu L,Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002888,Neurological disorder,#3288bd
12012,European,829.0,25944848.0,Athanasiu L,Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002888,Neurological disorder,#3288bd
12013,European,829.0,25944848.0,Athanasiu L,Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002888,Other measurement,#3288bd
12014,European,829.0,25944848.0,Athanasiu L,Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002888,Response to drug,#3288bd
12015,European,185.0,25944848.0,Athanasiu L,Pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002887,Neurological disorder,#3288bd
12016,European,185.0,25944848.0,Athanasiu L,Pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002887,Neurological disorder,#3288bd
12017,European,185.0,25944848.0,Athanasiu L,Pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002887,Neurological disorder,#3288bd
12018,European,185.0,25944848.0,Athanasiu L,Pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002887,Other measurement,#3288bd
12019,European,185.0,25944848.0,Athanasiu L,Pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio),initial,2015-05-05,GCST002887,Response to drug,#3288bd
12020,European,7973.0,25939597.0,Berndt SI,Prostate cancer aggressiveness,replication,2015-05-05,GCST002886,Other measurement,#3288bd
12021,European,4545.0,25939597.0,Berndt SI,Prostate cancer aggressiveness,initial,2015-05-05,GCST002886,Other measurement,#3288bd
12022,European,7973.0,25939597.0,Berndt SI,Prostate cancer aggressiveness,replication,2015-05-05,GCST002886,Other measurement,#3288bd
12023,European,4545.0,25939597.0,Berndt SI,Prostate cancer aggressiveness,initial,2015-05-05,GCST002886,Other measurement,#3288bd
12024,European,7973.0,25939597.0,Berndt SI,Prostate cancer aggressiveness,replication,2015-05-05,GCST002886,Cancer,#3288bd
12025,European,4545.0,25939597.0,Berndt SI,Prostate cancer aggressiveness,initial,2015-05-05,GCST002886,Cancer,#3288bd
12026,European,320.0,25944848.0,Athanasiu L,Pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002891,Neurological disorder,#3288bd
12027,European,320.0,25944848.0,Athanasiu L,Pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002891,Neurological disorder,#3288bd
12028,European,320.0,25944848.0,Athanasiu L,Pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002891,Neurological disorder,#3288bd
12029,European,320.0,25944848.0,Athanasiu L,Pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002891,Other measurement,#3288bd
12030,European,320.0,25944848.0,Athanasiu L,Pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio),initial,2015-05-05,GCST002891,Response to drug,#3288bd
12031,European,7541.0,25939597.0,Berndt SI,Prostate cancer,initial,2015-05-05,GCST002890,Cancer,#3288bd
12032,European,15402.0,25939597.0,Berndt SI,Prostate cancer,replication,2015-05-05,GCST002890,Cancer,#3288bd
12033,European,481.0,25827949.0,Kunz M,Cutaneous lupus erythematosus,replication,2015-05-04,GCST002884,Immune system disorder,#3288bd
12034,European,1439.0,25827949.0,Kunz M,Cutaneous lupus erythematosus,initial,2015-05-04,GCST002884,Immune system disorder,#3288bd
12035,Other/Mixed,19.0,25935875.0,Varenhorst C,Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor,replication,2015-05-02,GCST002882,Other measurement,#99d594
12036,Other/Mixed,18.0,25935875.0,Varenhorst C,Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor,initial,2015-05-02,GCST002882,Other measurement,#99d594
12037,European,1922.0,25935875.0,Varenhorst C,Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor,replication,2015-05-02,GCST002882,Other measurement,#3288bd
12038,European,1794.0,25935875.0,Varenhorst C,Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor,initial,2015-05-02,GCST002882,Other measurement,#3288bd
12039,Other/Mixed,19.0,25935875.0,Varenhorst C,Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor,replication,2015-05-02,GCST002882,Cardiovascular disease,#99d594
12040,Other/Mixed,18.0,25935875.0,Varenhorst C,Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor,initial,2015-05-02,GCST002882,Cardiovascular disease,#99d594
12041,European,1922.0,25935875.0,Varenhorst C,Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor,replication,2015-05-02,GCST002882,Cardiovascular disease,#3288bd
12042,European,1794.0,25935875.0,Varenhorst C,Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor,initial,2015-05-02,GCST002882,Cardiovascular disease,#3288bd
12043,Other/Mixed,19.0,25935875.0,Varenhorst C,AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor,replication,2015-05-02,GCST002883,Other measurement,#99d594
12044,Other/Mixed,18.0,25935875.0,Varenhorst C,AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor,initial,2015-05-02,GCST002883,Other measurement,#99d594
12045,European,1922.0,25935875.0,Varenhorst C,AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor,replication,2015-05-02,GCST002883,Other measurement,#3288bd
12046,European,1794.0,25935875.0,Varenhorst C,AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor,initial,2015-05-02,GCST002883,Other measurement,#3288bd
12047,Other/Mixed,19.0,25935875.0,Varenhorst C,AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor,replication,2015-05-02,GCST002883,Cardiovascular disease,#99d594
12048,Other/Mixed,18.0,25935875.0,Varenhorst C,AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor,initial,2015-05-02,GCST002883,Cardiovascular disease,#99d594
12049,European,1922.0,25935875.0,Varenhorst C,AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor,replication,2015-05-02,GCST002883,Cardiovascular disease,#3288bd
12050,European,1794.0,25935875.0,Varenhorst C,AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor,initial,2015-05-02,GCST002883,Cardiovascular disease,#3288bd
12051,European,2025.0,25934476.0,de Vries PS,ADAMTS13 activity,replication,2015-05-01,GCST002881,Other measurement,#3288bd
12052,European,3423.0,25934476.0,de Vries PS,ADAMTS13 activity,initial,2015-05-01,GCST002881,Other measurement,#3288bd
12053,European,1607.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Response to drug,#3288bd
12054,Asian,238.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Response to drug,#d53e4f
12055,African Am./Caribbean,84.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Response to drug,#fee08b
12056,Hispanic/Latin American,85.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Response to drug,#807dba
12058,European,1607.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Metabolic disorder,#3288bd
12059,Asian,238.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Metabolic disorder,#d53e4f
12060,African Am./Caribbean,84.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Metabolic disorder,#fee08b
12061,Hispanic/Latin American,85.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Metabolic disorder,#807dba
12063,European,1607.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Cardiovascular measurement,#3288bd
12064,Asian,238.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Cardiovascular measurement,#d53e4f
12065,African Am./Caribbean,84.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Cardiovascular measurement,#fee08b
12066,Hispanic/Latin American,85.0,25676789.0,Wen CC,Serum uric acid levels in response to allopurinol in gout,initial,2015-05-01,GCST004751,Cardiovascular measurement,#807dba
12068,Asian,797.0,25935106.0,Kim KW,Recalcitrant atopic dermatitis,initial,2015-04-30,GCST002880,Immune system disorder,#d53e4f
12069,Asian,14727.0,25802187.0,Jiang DK,Chronic hepatitis B infection,replication,2015-04-28,GCST002879,Digestive system disorder,#d53e4f
12070,Asian,3644.0,25802187.0,Jiang DK,Chronic hepatitis B infection,initial,2015-04-28,GCST002879,Digestive system disorder,#d53e4f
12071,European,498.0,25918995.0,Salvatore JE,Adult antisocial behavior,replication,2015-04-28,GCST002877,Other measurement,#3288bd
12072,European,621.0,25918995.0,Salvatore JE,Adult antisocial behavior,initial,2015-04-28,GCST002877,Other measurement,#3288bd
12073,European,3373.0,25918841.0,Sanchez-Juan P,Creutzfeldt-Jakob disease (sporadic),replication,2015-04-28,GCST002878,Neurological disorder,#3288bd
12074,European,2373.0,25918841.0,Sanchez-Juan P,Creutzfeldt-Jakob disease (sporadic),initial,2015-04-28,GCST002878,Neurological disorder,#3288bd
12075,European,525.0,25936594.0,Tomer Y,Type 1 diabetes and autoimmune thyroid diseases,replication,2015-04-27,GCST002876,Immune system disorder,#3288bd
12076,European,1073.0,25936594.0,Tomer Y,Type 1 diabetes and autoimmune thyroid diseases,initial,2015-04-27,GCST002876,Immune system disorder,#3288bd
12077,European,525.0,25936594.0,Tomer Y,Type 1 diabetes and autoimmune thyroid diseases,replication,2015-04-27,GCST002876,Metabolic disorder,#3288bd
12078,European,1073.0,25936594.0,Tomer Y,Type 1 diabetes and autoimmune thyroid diseases,initial,2015-04-27,GCST002876,Metabolic disorder,#3288bd
12079,European,898.0,25918132.0,Yucesoy B,Diisocyanate-induced asthma,initial,2015-04-26,GCST002875,Biological process,#3288bd
12080,European,898.0,25918132.0,Yucesoy B,Diisocyanate-induced asthma,initial,2015-04-26,GCST002875,Other disease,#3288bd
12081,European,10767.0,25903422.0,Yin X,Psoriasis,replication,2015-04-23,GCST002874,Immune system disorder,#3288bd
12082,Asian,5134.0,25903422.0,Yin X,Psoriasis,initial,2015-04-23,GCST002874,Immune system disorder,#d53e4f
12083,Asian,10303.0,25903422.0,Yin X,Psoriasis,replication,2015-04-23,GCST002874,Immune system disorder,#d53e4f
12084,European,8682.0,25903422.0,Yin X,Psoriasis,initial,2015-04-23,GCST002874,Immune system disorder,#3288bd
12085,European,3330.0,25855579.0,Mancikova V,Thyroid cancer,replication,2015-04-22,GCST002873,Cancer,#3288bd
12086,European,900.0,25855579.0,Mancikova V,Thyroid cancer,initial,2015-04-22,GCST002873,Cancer,#3288bd
12087,European,3953.0,25898920.0,Korostishevsky M,Blood metabolite levels,initial,2015-04-22,GCST002872,Other measurement,#3288bd
12088,European,3953.0,25898920.0,Korostishevsky M,Blood metabolite levels,initial,2015-04-22,GCST002872,Other measurement,#3288bd
12089,European,3953.0,25898920.0,Korostishevsky M,Blood metabolite levels,initial,2015-04-22,GCST002872,Other measurement,#3288bd
12090,European,3953.0,25898920.0,Korostishevsky M,Blood metabolite levels,initial,2015-04-22,GCST002872,Other measurement,#3288bd
12091,European,298.0,25897834.0,Biernacka JM,Response to serotonin reuptake inhibitors in major depressive disorder,initial,2015-04-21,GCST002868,Neurological disorder,#3288bd
12092,Asian,567.0,25897834.0,Biernacka JM,Response to serotonin reuptake inhibitors in major depressive disorder,initial,2015-04-21,GCST002868,Neurological disorder,#d53e4f
12094,European,298.0,25897834.0,Biernacka JM,Response to serotonin reuptake inhibitors in major depressive disorder,initial,2015-04-21,GCST002868,Response to drug,#3288bd
12095,Asian,567.0,25897834.0,Biernacka JM,Response to serotonin reuptake inhibitors in major depressive disorder,initial,2015-04-21,GCST002868,Response to drug,#d53e4f
12097,European,1868.0,25898129.0,Shim H,Response to statin therapy (LDL cholesterol subfractions),initial,2015-04-21,GCST002865,Response to drug,#3288bd
12098,European,6745.0,25898129.0,Shim H,Response to statin therapy (LDL cholesterol subfractions),replication,2015-04-21,GCST002865,Response to drug,#3288bd
12099,European,1868.0,25898129.0,Shim H,Response to statin therapy (LDL cholesterol subfractions),initial,2015-04-21,GCST002865,Lipid or lipoprotein measurement,#3288bd
12100,European,6745.0,25898129.0,Shim H,Response to statin therapy (LDL cholesterol subfractions),replication,2015-04-21,GCST002865,Lipid or lipoprotein measurement,#3288bd
12113,European,1868.0,25898129.0,Shim H,LDL cholesterol subfractions,initial,2015-04-21,GCST002870,Lipid or lipoprotein measurement,#3288bd
12114,European,6745.0,25898129.0,Shim H,LDL cholesterol subfractions,replication,2015-04-21,GCST002870,Lipid or lipoprotein measurement,#3288bd
12115,European,245.0,25896534.0,Julia A,"Response to anti-TNF treatment (adalimumab, etanercept or infliximab) in rheumatoid arthritis",replication,2015-04-21,GCST002869,Immune system disorder,#3288bd
12116,European,361.0,25896534.0,Julia A,"Response to anti-TNF treatment (adalimumab, etanercept or infliximab) in rheumatoid arthritis",initial,2015-04-21,GCST002869,Immune system disorder,#3288bd
12117,European,245.0,25896534.0,Julia A,"Response to anti-TNF treatment (adalimumab, etanercept or infliximab) in rheumatoid arthritis",replication,2015-04-21,GCST002869,Response to drug,#3288bd
12118,European,361.0,25896534.0,Julia A,"Response to anti-TNF treatment (adalimumab, etanercept or infliximab) in rheumatoid arthritis",initial,2015-04-21,GCST002869,Response to drug,#3288bd
12119,European,37954.0,25890600.0,Guo Q,Breast cancer (survival),initial,2015-04-18,GCST002861,Cancer,#3288bd
12120,European,37954.0,25890600.0,Guo Q,Breast cancer (survival),initial,2015-04-18,GCST002861,Other measurement,#3288bd
12121,European,37954.0,25890600.0,Guo Q,Breast cancer (survival),initial,2015-04-18,GCST002861,Cancer,#3288bd
12122,European,37954.0,25890600.0,Guo Q,Breast cancer (survival),initial,2015-04-18,GCST002861,Cancer,#3288bd
12123,European,2317.0,25886283.0,Chang X,Magnesium levels,initial,2015-04-17,GCST002860,Other measurement,#3288bd
12124,African Am./Caribbean,1283.0,25886283.0,Chang X,Magnesium levels,initial,2015-04-17,GCST002860,Other measurement,#fee08b
12125,European,60.0,25896417.0,Nakada TA,Cytokine and corticosteroid-stimulated IL-6 production,initial,2015-04-17,GCST002858,Inflammatory measurement,#3288bd
12126,European,60.0,25896417.0,Nakada TA,Cytokine and corticosteroid-stimulated IL-6 production,initial,2015-04-17,GCST002858,Response to drug,#3288bd
12127,European,60.0,25896417.0,Nakada TA,Cytokine and corticosteroid-stimulated IL-6 production,initial,2015-04-17,GCST002858,Response to drug,#3288bd
12128,African Am./Caribbean,3817.0,25886283.0,Chang X,Calcium levels,initial,2015-04-17,GCST002857,Other measurement,#fee08b
12129,European,5261.0,25886283.0,Chang X,Calcium levels,initial,2015-04-17,GCST002857,Other measurement,#3288bd
12130,European,60.0,25896417.0,Nakada TA,Cytokine-stimulated IL-6 production,initial,2015-04-17,GCST002859,Inflammatory measurement,#3288bd
12131,European,60.0,25896417.0,Nakada TA,Cytokine-stimulated IL-6 production,initial,2015-04-17,GCST002859,Response to drug,#3288bd
12132,African Am./Caribbean,257.0,25898001.0,Dong C,Carotid artery intima media thickness (sex interaction),replication,2015-04-16,GCST002856,Other measurement,#fee08b
12133,European,153.0,25898001.0,Dong C,Carotid artery intima media thickness (sex interaction),replication,2015-04-16,GCST002856,Other measurement,#3288bd
12134,Hispanic/Latin American,931.0,25898001.0,Dong C,Carotid artery intima media thickness (sex interaction),initial,2015-04-16,GCST002856,Other measurement,#807dba
12135,African Am./Caribbean,257.0,25898001.0,Dong C,Carotid artery intima media thickness (sex interaction),replication,2015-04-16,GCST002856,Other measurement,#fee08b
12136,European,153.0,25898001.0,Dong C,Carotid artery intima media thickness (sex interaction),replication,2015-04-16,GCST002856,Other measurement,#3288bd
12137,Hispanic/Latin American,931.0,25898001.0,Dong C,Carotid artery intima media thickness (sex interaction),initial,2015-04-16,GCST002856,Other measurement,#807dba
12138,European,2709.0,25877299.0,Kristiansen W,Testicular germ cell tumor,replication,2015-04-15,GCST002855,Cancer,#3288bd
12139,European,8013.0,25877299.0,Kristiansen W,Testicular germ cell tumor,initial,2015-04-15,GCST002855,Cancer,#3288bd
12140,Asian,1680.0,25888059.0,Cha S,Sasang constitutional medicine type (Tae-Yang),replication,2015-04-15,GCST002851,Other trait,#d53e4f
12141,Asian,3810.0,25888059.0,Cha S,Sasang constitutional medicine type (Tae-Yang),initial,2015-04-15,GCST002851,Other trait,#d53e4f
12142,Asian,1680.0,25888059.0,Cha S,Sasang constitutional medicine type (Tae-Yang),replication,2015-04-15,GCST002851,Other trait,#d53e4f
12143,Asian,3810.0,25888059.0,Cha S,Sasang constitutional medicine type (Tae-Yang),initial,2015-04-15,GCST002851,Other trait,#d53e4f
12144,Asian,1680.0,25888059.0,Cha S,Sasang constitutional medicine type (So-Yang),replication,2015-04-15,GCST002852,Other trait,#d53e4f
12145,Asian,3810.0,25888059.0,Cha S,Sasang constitutional medicine type (So-Yang),initial,2015-04-15,GCST002852,Other trait,#d53e4f
12146,Asian,1680.0,25888059.0,Cha S,Sasang constitutional medicine type (So-Yang),replication,2015-04-15,GCST002852,Other trait,#d53e4f
12147,Asian,3810.0,25888059.0,Cha S,Sasang constitutional medicine type (So-Yang),initial,2015-04-15,GCST002852,Other trait,#d53e4f
12148,Asian,1680.0,25888059.0,Cha S,Sasang constitutional medicine type (Tae-Eum),replication,2015-04-15,GCST002853,Other trait,#d53e4f
12149,Asian,3810.0,25888059.0,Cha S,Sasang constitutional medicine type (Tae-Eum),initial,2015-04-15,GCST002853,Other trait,#d53e4f
12150,Asian,1680.0,25888059.0,Cha S,Sasang constitutional medicine type (Tae-Eum),replication,2015-04-15,GCST002853,Other trait,#d53e4f
12151,Asian,3810.0,25888059.0,Cha S,Sasang constitutional medicine type (Tae-Eum),initial,2015-04-15,GCST002853,Other trait,#d53e4f
12152,Asian,1680.0,25888059.0,Cha S,Sasang constitutional medicine type (So-Eum),replication,2015-04-15,GCST002854,Other trait,#d53e4f
12153,Asian,3810.0,25888059.0,Cha S,Sasang constitutional medicine type (So-Eum),initial,2015-04-15,GCST002854,Other trait,#d53e4f
12154,Asian,1680.0,25888059.0,Cha S,Sasang constitutional medicine type (So-Eum),replication,2015-04-15,GCST002854,Other trait,#d53e4f
12155,Asian,3810.0,25888059.0,Cha S,Sasang constitutional medicine type (So-Eum),initial,2015-04-15,GCST002854,Other trait,#d53e4f
12156,European,33337.0,25869804.0,Ibrahim-Verbaas CA,Information processing speed,initial,2015-04-14,GCST002850,Biological process,#3288bd
12157,African Am./Caribbean,1444.0,25869804.0,Ibrahim-Verbaas CA,Information processing speed,replication,2015-04-14,GCST002850,Biological process,#fee08b
12158,European,8436.0,25869804.0,Ibrahim-Verbaas CA,Information processing speed,replication,2015-04-14,GCST002850,Biological process,#3288bd
12159,African Am./Caribbean,3146.0,25869804.0,Ibrahim-Verbaas CA,Executive function,replication,2015-04-14,GCST002849,Biological process,#fee08b
12160,European,20720.0,25869804.0,Ibrahim-Verbaas CA,Executive function,replication,2015-04-14,GCST002849,Biological process,#3288bd
12161,European,13462.0,25869804.0,Ibrahim-Verbaas CA,Executive function,initial,2015-04-14,GCST002849,Biological process,#3288bd
12162,Asian,1494.0,25867717.0,Song N,Disease-free survival in breast cancer,replication,2015-04-13,GCST002847,Other measurement,#d53e4f
12163,Asian,1732.0,25867717.0,Song N,Disease-free survival in breast cancer,initial,2015-04-13,GCST002847,Other measurement,#d53e4f
12164,Asian,1494.0,25867717.0,Song N,Disease-free survival in breast cancer,replication,2015-04-13,GCST002847,Cancer,#d53e4f
12165,Asian,1732.0,25867717.0,Song N,Disease-free survival in breast cancer,initial,2015-04-13,GCST002847,Cancer,#d53e4f
12168,European,1358.0,25875332.0,Zayats T,Attention deficit hyperactivity disorder,initial,2015-04-13,GCST002848,Neurological disorder,#3288bd
12169,European,6163.0,25865352.0,Schaarschmidt H,Atopic dermatitis,initial,2015-04-10,GCST002844,Immune system disorder,#3288bd
12170,European,3111.0,25865352.0,Schaarschmidt H,Atopic dermatitis,replication,2015-04-10,GCST002844,Immune system disorder,#3288bd
12171,Asian,1425.0,25862617.0,Zhang Y,Systemic lupus erythematosus,replication,2015-04-10,GCST002845,Immune system disorder,#d53e4f
12172,Asian,4628.0,25862617.0,Zhang Y,Systemic lupus erythematosus,replication,2015-04-10,GCST002845,Immune system disorder,#d53e4f
12173,Asian,5050.0,25862617.0,Zhang Y,Systemic lupus erythematosus,initial,2015-04-10,GCST002845,Immune system disorder,#d53e4f
12175,European,270930.0,25855136.0,Stacey SN,Basal cell carcinoma,initial,2015-04-09,GCST002842,Cancer,#3288bd
12176,European,5170.0,25855136.0,Stacey SN,Basal cell carcinoma,replication,2015-04-09,GCST002842,Cancer,#3288bd
12177,European,21590.0,25865494.0,Chan Y,Sitting height ratio,initial,2015-04-09,GCST002843,Body measurement,#3288bd
12178,African Am./Caribbean,3545.0,25865494.0,Chan Y,Sitting height ratio,initial,2015-04-09,GCST002843,Body measurement,#fee08b
12179,Asian,944.0,25848760.0,Sun Y,Developmental dysplasia of the hip,initial,2015-04-07,GCST002841,Other disease,#d53e4f
12180,Asian,1699.0,25848760.0,Sun Y,Developmental dysplasia of the hip,replication,2015-04-07,GCST002841,Other disease,#d53e4f
12181,European,3198.0,25849990.0,Tapper W,Myeloproliferative neoplasms,initial,2015-04-07,GCST002840,Cancer,#3288bd
12182,European,5992.0,25849990.0,Tapper W,Myeloproliferative neoplasms,replication,2015-04-07,GCST002840,Cancer,#3288bd
12184,European,922.0,25839716.0,Ng E,Polychlorinated biphenyl levels,initial,2015-04-02,GCST002839,Other measurement,#3288bd
12185,European,2949.0,25643325.0,Renton AE,Myasthenia gravis,initial,2015-04-01,GCST002838,Neurological disorder,#3288bd
12186,European,890.0,25643325.0,Renton AE,Myasthenia gravis,replication,2015-04-01,GCST002838,Neurological disorder,#3288bd
12187,European,89677.0,25751625.0,Michailidou K,Breast cancer,initial,2015-04-01,GCST007236,Cancer,#3288bd
12188,European,33864.0,25751625.0,Michailidou K,Breast cancer,initial,2015-04-01,GCST004950,Cancer,#3288bd
12189,European,89677.0,25751625.0,Michailidou K,Breast cancer,replication,2015-04-01,GCST004950,Cancer,#3288bd
12190,European,29652.0,25751624.0,Onengut-Gumuscu S,Type 1 diabetes,initial,2015-04-01,GCST005536,Metabolic disorder,#3288bd
12191,European,64.0,25813999.0,Jeong S,Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide),initial,2015-04-01,GCST002837,Response to drug,#3288bd
12192,European,49.0,25813999.0,Jeong S,Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide),replication,2015-04-01,GCST002837,Response to drug,#3288bd
12193,European,64.0,25813999.0,Jeong S,Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide),initial,2015-04-01,GCST002837,Other measurement,#3288bd
12194,European,49.0,25813999.0,Jeong S,Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide),replication,2015-04-01,GCST002837,Other measurement,#3288bd
12195,Asian,876.0,25823687.0,Cao S,Platinum-induced myelosuppression in non-small cell lung cancer,replication,2015-03-31,GCST002833,Other trait,#d53e4f
12196,Asian,328.0,25823687.0,Cao S,Platinum-induced myelosuppression in non-small cell lung cancer,initial,2015-03-31,GCST002833,Other trait,#d53e4f
12197,Asian,876.0,25823687.0,Cao S,Platinum-induced myelosuppression in non-small cell lung cancer,replication,2015-03-31,GCST002833,Response to drug,#d53e4f
12198,Asian,328.0,25823687.0,Cao S,Platinum-induced myelosuppression in non-small cell lung cancer,initial,2015-03-31,GCST002833,Response to drug,#d53e4f
12199,Asian,876.0,25823687.0,Cao S,Platinum-induced myelosuppression in non-small cell lung cancer,replication,2015-03-31,GCST002833,Cancer,#d53e4f
12200,Asian,328.0,25823687.0,Cao S,Platinum-induced myelosuppression in non-small cell lung cancer,initial,2015-03-31,GCST002833,Cancer,#d53e4f
12201,European,2007.0,25823570.0,Miyake M,Corneal curvature,replication,2015-03-31,GCST002834,Other measurement,#3288bd
12202,Asian,6234.0,25823570.0,Miyake M,Corneal curvature,replication,2015-03-31,GCST002834,Other measurement,#d53e4f
12204,Asian,3460.0,25823570.0,Miyake M,Axial length,replication,2015-03-31,GCST002836,Other measurement,#d53e4f
12205,Asian,3248.0,25823570.0,Miyake M,Axial length,initial,2015-03-31,GCST002836,Other measurement,#d53e4f
12206,European,10114.0,25826619.0,Henrion MY,Renal cell carcinoma,replication,2015-03-31,GCST002835,Cancer,#3288bd
12207,European,10871.0,25826619.0,Henrion MY,Renal cell carcinoma,initial,2015-03-31,GCST002835,Cancer,#3288bd
12209,European,15282.0,25811787.0,Huffman JE,Urate levels in lean individuals,initial,2015-03-26,GCST002830,Other measurement,#3288bd
12210,European,15282.0,25811787.0,Huffman JE,Urate levels in lean individuals,initial,2015-03-26,GCST002830,Body measurement,#3288bd
12211,European,16957.0,25817017.0,Carmona FD,Giant cell arteritis,initial,2015-03-26,GCST006198,Cardiovascular disease,#3288bd
12212,European,13959.0,25811787.0,Huffman JE,Urate levels (BMI interaction),replication,2015-03-26,GCST002827,Other measurement,#3288bd
12213,European,28610.0,25811787.0,Huffman JE,Urate levels (BMI interaction),initial,2015-03-26,GCST002827,Other measurement,#3288bd
12214,European,13959.0,25811787.0,Huffman JE,Urate levels (BMI interaction),replication,2015-03-26,GCST002827,Body measurement,#3288bd
12215,European,28610.0,25811787.0,Huffman JE,Urate levels (BMI interaction),initial,2015-03-26,GCST002827,Body measurement,#3288bd
12216,European,9445.0,25811787.0,Huffman JE,Urate levels in obese individuals,initial,2015-03-26,GCST002828,Body measurement,#3288bd
12217,European,9445.0,25811787.0,Huffman JE,Urate levels in obese individuals,initial,2015-03-26,GCST002828,Other measurement,#3288bd
