,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,EFOTerm,color
10715,European,792.0,17684544.0,Franke A,Crohn's disease,initial,2007-08-08,GCST000066,Digestive system disorder,crohn's disease,#d53e4f
10716,African,35.0,17671248.0,Dunckley T,Amyotrophic lateral sclerosis,replication,2007-08-01,GCST000065,Neurological disorder,amyotrophic lateral sclerosis,#fc8d59
10717,Asian,8.0,17671248.0,Dunckley T,Amyotrophic lateral sclerosis,replication,2007-08-01,GCST000065,Neurological disorder,amyotrophic lateral sclerosis,#3288bd
10718,Other/Mixed,3.0,17671248.0,Dunckley T,Amyotrophic lateral sclerosis,replication,2007-08-01,GCST000065,Neurological disorder,amyotrophic lateral sclerosis,#99d594
10719,Other/Mixed,3.0,17671248.0,Dunckley T,Amyotrophic lateral sclerosis,replication,2007-08-01,GCST000065,Neurological disorder,amyotrophic lateral sclerosis,#99d594
10720,Other/Mixed,192.0,17671248.0,Dunckley T,Amyotrophic lateral sclerosis,replication,2007-08-01,GCST000065,Neurological disorder,amyotrophic lateral sclerosis,#99d594
10721,European,928.0,17671248.0,Dunckley T,Amyotrophic lateral sclerosis,initial,2007-08-01,GCST000065,Neurological disorder,amyotrophic lateral sclerosis,#d53e4f
10722,European,438.0,17671248.0,Dunckley T,Amyotrophic lateral sclerosis,replication,2007-08-01,GCST000065,Neurological disorder,amyotrophic lateral sclerosis,#d53e4f
10723,Hispanic/Latin American,87.0,17671248.0,Dunckley T,Amyotrophic lateral sclerosis,replication,2007-08-01,GCST000065,Neurological disorder,amyotrophic lateral sclerosis,#807dba
10724,Asian,188.0,17653210.0,Maeda S,Type 2 diabetes nephropathy,initial,2007-08-01,GCST000064,Metabolic disorder,type 2 diabetes nephropathy,#3288bd
10725,European,3297.0,18204447.0,Kozyrev SV,Systemic lupus erythematosus,replication,2008-01-20,GCST000143,Immune system disorder,systemic lupus erythematosus,#d53e4f
10726,European,794.0,18204447.0,Kozyrev SV,Systemic lupus erythematosus,initial,2008-01-20,GCST000143,Immune system disorder,systemic lupus erythematosus,#d53e4f
10727,European,1650.0,18204098.0,Hom G,Systemic lupus erythematosus,replication,2008-01-20,GCST000144,Immune system disorder,systemic lupus erythematosus,#d53e4f
10728,European,4651.0,18204098.0,Hom G,Systemic lupus erythematosus,initial,2008-01-20,GCST000144,Immune system disorder,systemic lupus erythematosus,#d53e4f
10729,European,3136.0,18198356.0,Hakonarson H,Type 1 diabetes,replication,2008-01-15,GCST000141,Metabolic disorder,type i diabetes mellitus,#d53e4f
10730,European,3105.0,18198356.0,Hakonarson H,Type 1 diabetes,initial,2008-01-15,GCST000141,Metabolic disorder,type i diabetes mellitus,#d53e4f
10731,European,81.0,18195134.0,Byun E,Response to interferon beta therapy,replication,2008-01-14,GCST000140,Response to drug,response to interferon beta,#d53e4f
10732,European,206.0,18195134.0,Byun E,Response to interferon beta therapy,initial,2008-01-14,GCST000140,Response to drug,response to interferon beta,#d53e4f
10733,European,2758.0,18193044.0,Kathiresan S,Triglycerides,initial,2008-01-13,GCST000138,Lipid or lipoprotein measurement,triglyceride measurement,#d53e4f
10734,European,18554.0,18193044.0,Kathiresan S,Triglycerides,replication,2008-01-13,GCST000138,Lipid or lipoprotein measurement,triglyceride measurement,#d53e4f
10735,European,2758.0,18193044.0,Kathiresan S,HDL cholesterol,initial,2008-01-13,GCST000133,Lipid or lipoprotein measurement,high density lipoprotein cholesterol measurement,#d53e4f
10736,European,18554.0,18193044.0,Kathiresan S,HDL cholesterol,replication,2008-01-13,GCST000133,Lipid or lipoprotein measurement,high density lipoprotein cholesterol measurement,#d53e4f
10737,European,2758.0,18193044.0,Kathiresan S,LDL cholesterol,initial,2008-01-13,GCST000134,Lipid or lipoprotein measurement,low density lipoprotein cholesterol measurement,#d53e4f
10738,European,18544.0,18193044.0,Kathiresan S,LDL cholesterol,replication,2008-01-13,GCST000134,Lipid or lipoprotein measurement,low density lipoprotein cholesterol measurement,#d53e4f
10739,European,23684.0,18193045.0,Sanna S,Height,replication,2008-01-13,GCST000136,Body measurement,body height,#d53e4f
10740,European,6669.0,18193045.0,Sanna S,Height,initial,2008-01-13,GCST000136,Body measurement,body height,#d53e4f
10741,African Am./Caribbean,3860.0,18193045.0,Sanna S,Height,replication,2008-01-13,GCST000136,Body measurement,body height,#fee08b
10742,Other/Mixed,2528.0,18193046.0,Kooner JS,Triglycerides,replication,2008-01-13,GCST000137,Lipid or lipoprotein measurement,triglyceride measurement,#99d594
10743,Asian,1181.0,18193046.0,Kooner JS,Triglycerides,replication,2008-01-13,GCST000137,Lipid or lipoprotein measurement,triglyceride measurement,#3288bd
10744,European,1005.0,18193046.0,Kooner JS,Triglycerides,initial,2008-01-13,GCST000137,Lipid or lipoprotein measurement,triglyceride measurement,#d53e4f
10745,Asian,1006.0,18193046.0,Kooner JS,Triglycerides,initial,2008-01-13,GCST000137,Lipid or lipoprotein measurement,triglyceride measurement,#3288bd
10746,European,6827.0,18193046.0,Kooner JS,Triglycerides,replication,2008-01-13,GCST000137,Lipid or lipoprotein measurement,triglyceride measurement,#d53e4f
10747,European,4955.0,18179892.0,Wallace C,LDL cholesterol,replication,2008-01-10,GCST000131,Lipid or lipoprotein measurement,low density lipoprotein cholesterol measurement,#d53e4f
10748,European,1955.0,18179892.0,Wallace C,LDL cholesterol,initial,2008-01-10,GCST000131,Lipid or lipoprotein measurement,low density lipoprotein cholesterol measurement,#d53e4f
10749,European,4955.0,18179892.0,Wallace C,Urate levels,replication,2008-01-10,GCST000130,Other measurement,urate measurement,#d53e4f
10750,European,1955.0,18179892.0,Wallace C,Urate levels,initial,2008-01-10,GCST000130,Other measurement,urate measurement,#d53e4f
10751,European,2269.0,18159244.0,Hinney A,Obesity (early onset extreme),replication,2007-12-26,GCST000129,Metabolic disorder,obesity,#d53e4f
10752,European,929.0,18159244.0,Hinney A,Obesity (early onset extreme),initial,2007-12-26,GCST000129,Metabolic disorder,obesity,#d53e4f
10753,European,2834.0,18073375.0,Duggan D,Prostate cancer,initial,2007-12-19,GCST000128,Cancer,prostate carcinoma,#d53e4f
10754,African Am./Caribbean,556.0,18073375.0,Duggan D,Prostate cancer,replication,2007-12-19,GCST000128,Cancer,prostate carcinoma,#fee08b
10755,European,1603.0,18073375.0,Duggan D,Prostate cancer,replication,2007-12-19,GCST000128,Cancer,prostate carcinoma,#d53e4f
10756,European,2225.0,18084291.0,van Es MA,Amyotrophic lateral sclerosis,replication,2007-12-16,GCST000127,Neurological disorder,amyotrophic lateral sclerosis,#d53e4f
10757,European,1458.0,18084291.0,van Es MA,Amyotrophic lateral sclerosis,initial,2007-12-16,GCST000127,Neurological disorder,amyotrophic lateral sclerosis,#d53e4f
10758,European,432.0,18057069.0,Cronin S,Amyotrophic lateral sclerosis,initial,2007-12-07,GCST000126,Neurological disorder,amyotrophic lateral sclerosis,#d53e4f
10759,European,1458.0,18057069.0,Cronin S,Amyotrophic lateral sclerosis,replication,2007-12-07,GCST000126,Neurological disorder,amyotrophic lateral sclerosis,#d53e4f
10760,Asian,100.0,18075462.0,Suzuki S,Coronary spasm,initial,2007-11-17,GCST000125,Cardiovascular disease,coronary vasospasm,#3288bd
10761,Asian,311.0,18075462.0,Suzuki S,Coronary spasm,replication,2007-11-17,GCST000125,Cardiovascular disease,coronary vasospasm,#3288bd
10762,European,1489.0,17998437.0,Li H,Alzheimer's disease,initial,2007-11-12,GCST000124,Neurological disorder,Alzheimer's disease,#d53e4f
10763,European,667.0,17998437.0,Li H,Alzheimer's disease,replication,2007-11-12,GCST000124,Neurological disorder,Alzheimer's disease,#d53e4f
10764,European,1079.0,17903300.0,Fox CS,Waist circumference,initial,2007-09-19,GCST000084,Body measurement,waist circumference,#d53e4f
10765,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Other measurement,vitamin K measurement,#d53e4f
10766,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Liver enzyme measurement,alkaline phosphatase measurement,#d53e4f
10767,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Inflammatory measurement,CD40 ligand measurement,#d53e4f
10768,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Inflammatory measurement,tumor necrosis factor-alpha measurement,#d53e4f
10769,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Liver enzyme measurement,serum alanine aminotransferase measurement,#d53e4f
10770,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Cardiovascular measurement,atrial natriuretic factor measurement,#d53e4f
10771,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Inflammatory measurement,c-reactive protein measurement,#d53e4f
10772,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Other measurement,CCL2 measurement,#d53e4f
10773,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Other measurement,bilirubin measurement,#d53e4f
10774,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Other measurement,vitamin D measurement,#d53e4f
10775,Hispanic/Latin American,603.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,insulin measurement,#807dba
10776,Other/Mixed,634.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,insulin measurement,#99d594
10777,European,4815.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,insulin measurement,#d53e4f
10778,European,1087.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,initial,2007-09-10,GCST000073,Other measurement,insulin measurement,#d53e4f
10779,Hispanic/Latin American,603.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,glucose measurement,#807dba
10780,Other/Mixed,634.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,glucose measurement,#99d594
10781,European,4815.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,glucose measurement,#d53e4f
10782,European,1087.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,initial,2007-09-10,GCST000073,Other measurement,glucose measurement,#d53e4f
10783,Hispanic/Latin American,603.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Metabolic disorder,type ii diabetes mellitus,#807dba
10784,Other/Mixed,634.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Metabolic disorder,type ii diabetes mellitus,#99d594
10785,European,4815.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10786,European,1087.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,initial,2007-09-10,GCST000073,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10787,Hispanic/Latin American,561.0,17846124.0,Hayes MG,Type 2 diabetes,initial,2007-09-10,GCST000075,Metabolic disorder,type ii diabetes mellitus,#807dba
10788,European,1506.0,17846124.0,Hayes MG,Type 2 diabetes,replication,2007-09-10,GCST000075,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10789,Other/Mixed,895.0,17846124.0,Hayes MG,Type 2 diabetes,replication,2007-09-10,GCST000075,Metabolic disorder,type ii diabetes mellitus,#99d594
10790,European,4305.0,17997608.0,Li S,Urate levels,initial,2007-11-09,GCST000123,Other measurement,urate measurement,#d53e4f
10791,European,1301.0,17997608.0,Li S,Urate levels,replication,2007-11-09,GCST000123,Other measurement,urate measurement,#d53e4f
10792,European,397.0,17982456.0,Plenge RM,Rheumatoid arthritis,initial,2007-11-04,GCST000122,Immune system disorder,rheumatoid arthritis,#d53e4f
10794,European,1707.0,17982456.0,Plenge RM,Rheumatoid arthritis,replication,2007-11-04,GCST000122,Immune system disorder,rheumatoid arthritis,#d53e4f
10797,,,,,Skin sensitivity to sun,,,GCST000116,Immune system disorder,skin sensitivity to sun,black
10798,,,,,Blue vs. brown eyes,,,GCST000120,Other trait,eye color,black
10799,,,,,Blue vs. green eyes,,,GCST000117,Other trait,eye color,black
10800,European,2986.0,17952075.0,Sulem P,Blond vs. brown hair color,initial,2007-10-21,GCST000118,Other trait,hair color,#d53e4f
10801,European,3932.0,17952075.0,Sulem P,Blond vs. brown hair color,replication,2007-10-21,GCST000118,Other trait,hair color,#d53e4f
10802,,,,,Freckles,,,GCST000119,Other trait,freckles,black
10803,,,,,Red vs non-red hair color,,,GCST000115,Other trait,hair color,black
10804,Asian,231.0,17999355.0,Stokowski RP,Skin pigmentation,replication,2007-10-15,GCST000114,Other trait,skin pigmentation,#3288bd
10805,Asian,737.0,17999355.0,Stokowski RP,Skin pigmentation,initial,2007-10-15,GCST000114,Other trait,skin pigmentation,#3288bd
10806,European,13475.0,17934461.0,Broderick P,Colorectal cancer,replication,2007-10-14,GCST000113,Cancer,colorectal cancer,#d53e4f
10807,European,1890.0,17934461.0,Broderick P,Colorectal cancer,initial,2007-10-14,GCST000113,Cancer,colorectal cancer,#d53e4f
10808,European,165.0,17911428.0,Cervino AC,Lupus,initial,2007-10-08,GCST000112,Immune system disorder,systemic lupus erythematosus,#d53e4f
10809,European,1341.0,17903300.0,Fox CS,Body mass index,initial,2007-09-19,GCST000090,Body measurement,body mass index,#d53e4f
10813,European,3206.0,17554261.0,Parkes M,Crohn's disease,replication,2007-06-06,GCST000039,Digestive system disorder,crohn's disease,#d53e4f
10814,European,5000.0,17554260.0,Todd JA,Type 1 diabetes,initial,2007-06-06,GCST000038,Metabolic disorder,type i diabetes mellitus,#d53e4f
10815,European,17991.0,17554260.0,Todd JA,Type 1 diabetes,replication,2007-06-06,GCST000038,Metabolic disorder,type i diabetes mellitus,#d53e4f
10816,European,2287.0,17529973.0,Hunter DJ,Breast cancer,initial,2007-05-27,GCST000036,Cancer,breast carcinoma,#d53e4f
10817,Other/Mixed,896.0,17529973.0,Hunter DJ,Breast cancer,replication,2007-05-27,GCST000036,Cancer,breast carcinoma,#99d594
10818,European,2352.0,17529973.0,Hunter DJ,Breast cancer,replication,2007-05-27,GCST000036,Cancer,breast carcinoma,#d53e4f
10819,European,48565.0,17529967.0,Easton DF,Breast cancer,replication,2007-05-27,GCST000035,Cancer,breast carcinoma,#d53e4f
10820,Asian,7928.0,17529967.0,Easton DF,Breast cancer,replication,2007-05-27,GCST000035,Cancer,breast carcinoma,#3288bd
10821,European,754.0,17529967.0,Easton DF,Breast cancer,initial,2007-05-27,GCST000035,Cancer,breast carcinoma,#d53e4f
10822,Hispanic/Latin American,840.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,breast carcinoma,#807dba
10823,African Am./Caribbean,870.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,breast carcinoma,#fee08b
10824,Asian,1126.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,breast carcinoma,#3288bd
10825,European,8921.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,breast carcinoma,#d53e4f
10826,European,13145.0,17529974.0,Stacey SN,Breast cancer,initial,2007-05-27,GCST000037,Cancer,breast carcinoma,#d53e4f
10827,Other/Mixed,441.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,breast carcinoma,#99d594
10828,European,26.0,17505501.0,Kindmark A,Response to ximelagatran treatment (increased serum alanine aminotransferase levels),replication,2007-05-15,GCST000034,Liver enzyme measurement,serum alanine aminotransferase measurement,#d53e4f
10829,European,204.0,17505501.0,Kindmark A,Response to ximelagatran treatment (increased serum alanine aminotransferase levels),initial,2007-05-15,GCST000034,Liver enzyme measurement,serum alanine aminotransferase measurement,#d53e4f
10830,European,26.0,17505501.0,Kindmark A,Response to ximelagatran treatment (increased serum alanine aminotransferase levels),replication,2007-05-15,GCST000034,Response to drug,response to ximelagatran,#d53e4f
10831,European,204.0,17505501.0,Kindmark A,Response to ximelagatran treatment (increased serum alanine aminotransferase levels),initial,2007-05-15,GCST000034,Response to drug,response to ximelagatran,#d53e4f
10832,European,8686.0,17460697.0,Steinthorsdottir V,Type 2 diabetes,initial,2007-04-26,GCST000027,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10833,European,9461.0,17460697.0,Steinthorsdottir V,Type 2 diabetes,replication,2007-04-26,GCST000027,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10834,European,2335.0,17463248.0,Scott LJ,Type 2 diabetes,initial,2007-04-26,GCST000024,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10835,European,2473.0,17463248.0,Scott LJ,Type 2 diabetes,replication,2007-04-26,GCST000024,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10838,European,10657.0,17434869.0,Frayling TM,Body mass index,initial,2007-04-12,GCST000022,Body measurement,body mass index,#d53e4f
10839,European,29596.0,17434869.0,Frayling TM,Body mass index,replication,2007-04-12,GCST000022,Body measurement,body mass index,#d53e4f
10840,European,454.0,17407593.0,Uhl GR,Nicotine dependence,initial,2007-04-03,GCST000021,Neurological disorder,nicotine dependence,#d53e4f
10841,African Am./Caribbean,745.0,17401366.0,Gudmundsson J,Prostate cancer,replication,2007-04-01,GCST000019,Cancer,prostate carcinoma,#fee08b
10842,European,3655.0,17401366.0,Gudmundsson J,Prostate cancer,replication,2007-04-01,GCST000019,Cancer,prostate carcinoma,#d53e4f
10843,European,4517.0,17401366.0,Gudmundsson J,Prostate cancer,initial,2007-04-01,GCST000019,Cancer,prostate carcinoma,#d53e4f
10844,Other/Mixed,207.0,17395743.0,Hanson RL,End-stage renal disease,initial,2007-04-01,GCST000020,Other disease,chronic kidney disease,#99d594
10845,European,6266.0,17401363.0,Yeager M,Prostate cancer,replication,2007-04-01,GCST000017,Cancer,prostate carcinoma,#d53e4f
10846,European,2329.0,17401363.0,Yeager M,Prostate cancer,initial,2007-04-01,GCST000017,Cancer,prostate carcinoma,#d53e4f
10847,European,1086.0,17474819.0,Coon KD,Alzheimer's disease (late onset),initial,2007-04-01,GCST000018,Neurological disorder,Alzheimer's disease,#d53e4f
10848,European,322.0,17522711.0,Lencz T,Schizophrenia,initial,2007-03-20,GCST000016,Neurological disorder,schizophrenia,#d53e4f
10849,European,632.0,17357082.0,Melquist S,Progressive supranuclear palsy,initial,2007-03-08,GCST000015,Neurological disorder,progressive supranuclear palsy,#d53e4f
10850,European,604.0,17357082.0,Melquist S,Progressive supranuclear palsy,replication,2007-03-08,GCST000015,Neurological disorder,progressive supranuclear palsy,#d53e4f
10851,European,1475.0,17447842.0,Libioulle C,Crohn's disease,initial,2007-03-05,GCST000014,Digestive system disorder,crohn's disease,#d53e4f
10852,European,3109.0,17447842.0,Libioulle C,Crohn's disease,replication,2007-03-05,GCST000014,Digestive system disorder,crohn's disease,#d53e4f
10853,European,547.0,17362836.0,Schymick JC,Amyotrophic lateral sclerosis,initial,2007-02-20,GCST000013,Neurological disorder,amyotrophic lateral sclerosis,#d53e4f
10854,European,1275.0,17293876.0,Sladek R,Type 2 diabetes,initial,2007-02-11,GCST000012,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10855,European,5511.0,17293876.0,Sladek R,Type 2 diabetes,replication,2007-02-11,GCST000012,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10856,European,673.0,17223258.0,Spinola M,Lung cancer,initial,2007-01-16,GCST000011,Cancer,lung carcinoma,#d53e4f
10857,European,621.0,17223258.0,Spinola M,Lung cancer,replication,2007-01-16,GCST000011,Cancer,lung carcinoma,#d53e4f
10858,European,981.0,17158188.0,Bierut LJ,Nicotine dependence,replication,2006-12-07,GCST000010,Neurological disorder,nicotine dependence,#d53e4f
10859,European,948.0,17158188.0,Bierut LJ,Nicotine dependence,initial,2006-12-07,GCST000010,Neurological disorder,nicotine dependence,#d53e4f
10860,African Am./Caribbean,920.0,17099884.0,Liu QR,Addiction,initial,2006-12-05,GCST000009,Neurological disorder,drug dependence,#fee08b
10861,European,740.0,17099884.0,Liu QR,Addiction,initial,2006-12-05,GCST000009,Neurological disorder,drug dependence,#d53e4f
10862,Other/Mixed,1584.0,17068223.0,Duerr RH,Inflammatory bowel disease,replication,2006-10-26,GCST000008,Digestive system disorder,inflammatory bowel disease,#99d594
10863,European,1095.0,17068223.0,Duerr RH,Inflammatory bowel disease,initial,2006-10-26,GCST000008,Digestive system disorder,inflammatory bowel disease,#d53e4f
10864,European,662.0,17053149.0,Papassotiropoulos A,Memory performance,replication,2006-10-20,GCST000007,Other measurement,memory performance,#d53e4f
10865,Other/Mixed,18.0,17053149.0,Papassotiropoulos A,Memory performance,replication,2006-10-20,GCST000007,Other measurement,memory performance,#99d594
10866,European,341.0,17053149.0,Papassotiropoulos A,Memory performance,initial,2006-10-20,GCST000007,Other measurement,memory performance,#d53e4f
10867,European,1648.0,17486107.0,Baum AE,Bipolar disorder,replication,2007-05-08,GCST000033,Neurological disorder,bipolar disorder,#d53e4f
10868,European,1024.0,17486107.0,Baum AE,Bipolar disorder,initial,2007-05-08,GCST000033,Neurological disorder,bipolar disorder,#d53e4f
10869,European,517.0,17434096.0,Matarin M,Stroke,initial,2007-05-06,GCST000032,Cardiovascular disease,stroke,#d53e4f
10870,European,634.0,17478681.0,McPherson R,Coronary heart disease,initial,2007-05-03,GCST000031,Cardiovascular disease,coronary heart disease,#d53e4f
10871,European,23791.0,17478681.0,McPherson R,Coronary heart disease,replication,2007-05-03,GCST000031,Cardiovascular disease,coronary heart disease,#d53e4f
10872,European,9289.0,17478679.0,Helgadottir A,Myocardial infarction,replication,2007-05-03,GCST000030,Cardiovascular disease,myocardial infarction,#d53e4f
10873,European,8335.0,17478679.0,Helgadottir A,Myocardial infarction,initial,2007-05-03,GCST000030,Cardiovascular disease,myocardial infarction,#d53e4f
10874,European,472.0,17470457.0,Huentelman MJ,Episodic memory,replication,2007-04-30,GCST000029,Biological process,episodic memory,#d53e4f
10875,European,341.0,17470457.0,Huentelman MJ,Episodic memory,initial,2007-04-30,GCST000029,Biological process,episodic memory,#d53e4f
10876,European,4862.0,17463249.0,Zeggini E,Type 2 diabetes,initial,2007-04-26,GCST000025,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10877,European,9103.0,17463249.0,Zeggini E,Type 2 diabetes,replication,2007-04-26,GCST000025,Metabolic disorder,type ii diabetes mellitus,#d53e4f
10878,Asian,226.0,17053108.0,Dewan A,Age-related macular degeneration (wet),initial,2006-10-19,GCST000006,Neurological disorder,age-related macular degeneration,#3288bd
10879,European,537.0,17052657.0,Fung HC,Parkinson's disease,initial,2006-09-28,GCST000005,Neurological disorder,parkinson's disease,#d53e4f
10880,European,200.0,16648850.0,Arking DE,QT interval,initial,2006-04-30,GCST000004,Cardiovascular measurement,QT interval,#d53e4f
10881,European,4851.0,16648850.0,Arking DE,QT interval,replication,2006-04-30,GCST000004,Cardiovascular measurement,QT interval,#d53e4f
10882,African Am./Caribbean,866.0,16614226.0,Herbert A,Obesity,replication,2006-04-14,GCST000003,Metabolic disorder,obesity,#fee08b
10883,European,10527.0,16614226.0,Herbert A,Obesity,replication,2006-04-14,GCST000003,Metabolic disorder,obesity,#d53e4f
10886,Asian,1.0,16252231.0,Maraganore DM,Parkinson's disease,replication,2005-09-09,GCST000002,Neurological disorder,parkinson's disease,#3288bd
10887,Other/Mixed,122.0,16252231.0,Maraganore DM,Parkinson's disease,replication,2005-09-09,GCST000002,Neurological disorder,parkinson's disease,#99d594
10888,European,541.0,16252231.0,Maraganore DM,Parkinson's disease,replication,2005-09-09,GCST000002,Neurological disorder,parkinson's disease,#d53e4f
10889,European,744.0,16252231.0,Maraganore DM,Parkinson's disease,initial,2005-09-09,GCST000002,Neurological disorder,parkinson's disease,#d53e4f
10890,Other/Mixed,141.0,16252231.0,Maraganore DM,Parkinson's disease,initial,2005-09-09,GCST000002,Neurological disorder,parkinson's disease,#99d594
10891,Asian,1.0,16252231.0,Maraganore DM,Parkinson's disease,initial,2005-09-09,GCST000002,Neurological disorder,parkinson's disease,#3288bd
10892,European,146.0,15761122.0,Klein RJ,Age-related macular degeneration,initial,2005-03-10,GCST000001,Neurological disorder,age-related macular degeneration,#d53e4f
10893,European,1300.0,22229870.0,Karns R,Uric acid levels,initial,2012-01-09,GCST001374,Cardiovascular measurement,uric acid measurement,#d53e4f
10894,Asian,4160.0,22232737.0,Shu XO,Breast cancer (survival),replication,2012-01-09,GCST001373,Other measurement,event free survival time,#3288bd
10895,Asian,1950.0,22232737.0,Shu XO,Breast cancer (survival),initial,2012-01-09,GCST001373,Other measurement,event free survival time,#3288bd
10896,Asian,4160.0,22232737.0,Shu XO,Breast cancer (survival),replication,2012-01-09,GCST001373,Other measurement,survival time,#3288bd
10897,Asian,1950.0,22232737.0,Shu XO,Breast cancer (survival),initial,2012-01-09,GCST001373,Other measurement,survival time,#3288bd
10898,Asian,4160.0,22232737.0,Shu XO,Breast cancer (survival),replication,2012-01-09,GCST001373,Cancer,breast carcinoma,#3288bd
10899,Asian,1950.0,22232737.0,Shu XO,Breast cancer (survival),initial,2012-01-09,GCST001373,Cancer,breast carcinoma,#3288bd
10900,European,757.0,22245343.0,Meda SA,Alzheimer's disease,initial,2012-01-08,GCST001372,Neurological disorder,Alzheimer's disease,#d53e4f
10901,European,1092.0,22228203.0,Aslibekyan S,Inflammatory biomarkers,initial,2012-01-05,GCST001371,Response to drug,response to fenofibrate,#d53e4f
10902,European,9515.0,22219177.0,Tao S,Prostate cancer (SNP x SNP interaction),initial,2012-01-04,GCST001370,Other measurement,genetic variation,#d53e4f
10903,European,9515.0,22219177.0,Tao S,Prostate cancer (SNP x SNP interaction),initial,2012-01-04,GCST001370,Cancer,prostate carcinoma,#d53e4f
10904,African Am./Caribbean,4455.0,22238593.0,Palmer ND,Type 2 diabetes,replication,2012-01-04,GCST001369,Metabolic disorder,type ii diabetes mellitus,#fee08b
10905,African Am./Caribbean,1994.0,22238593.0,Palmer ND,Type 2 diabetes,initial,2012-01-04,GCST001369,Metabolic disorder,type ii diabetes mellitus,#fee08b
10906,African Am./Caribbean,82.0,22864933.0,O'Donnell PH,Capecitabine sensitivity,initial,2012-01-03,GCST001368,Response to drug,response to antineoplastic agent,#fee08b
10907,European,164.0,22864933.0,O'Donnell PH,Capecitabine sensitivity,initial,2012-01-03,GCST001368,Response to drug,response to antineoplastic agent,#d53e4f
10908,Asian,84.0,22864933.0,O'Donnell PH,Capecitabine sensitivity,initial,2012-01-03,GCST001368,Response to drug,response to antineoplastic agent,#3288bd
10909,African,173.0,22864933.0,O'Donnell PH,Capecitabine sensitivity,initial,2012-01-03,GCST001368,Response to drug,response to antineoplastic agent,#fc8d59
10910,Other/Mixed,576.0,22210626.0,Mead S,Prion diseases,initial,2011-12-30,GCST001366,Neurological disorder,prion disease,#99d594
10911,European,7296.0,22210626.0,Mead S,Prion diseases,initial,2011-12-30,GCST001366,Neurological disorder,prion disease,#d53e4f
10912,Asian,1496.0,22171074.0,Tan A,Triglycerides,replication,2011-12-30,GCST001367,Lipid or lipoprotein measurement,triglyceride measurement,#3288bd
10913,Asian,1999.0,22171074.0,Tan A,Triglycerides,initial,2011-12-30,GCST001367,Lipid or lipoprotein measurement,triglyceride measurement,#3288bd
