,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
10430,European,1955.0,18179892.0,Wallace C,LDL cholesterol,initial,2008-01-10,GCST000131,Lipid or lipoprotein measurement,#d53e4f
10431,European,4955.0,18179892.0,Wallace C,LDL cholesterol,replication,2008-01-10,GCST000131,Other measurement,#d53e4f
10432,European,1955.0,18179892.0,Wallace C,LDL cholesterol,initial,2008-01-10,GCST000131,Other measurement,#d53e4f
10433,European,4955.0,18179892.0,Wallace C,Urate levels,replication,2008-01-10,GCST000130,Metabolic disorder,#d53e4f
10434,European,1955.0,18179892.0,Wallace C,Urate levels,initial,2008-01-10,GCST000130,Metabolic disorder,#d53e4f
10435,European,4955.0,18179892.0,Wallace C,Urate levels,replication,2008-01-10,GCST000130,Other measurement,#d53e4f
10436,European,1955.0,18179892.0,Wallace C,Urate levels,initial,2008-01-10,GCST000130,Other measurement,#d53e4f
10437,European,2269.0,18159244.0,Hinney A,Obesity (early onset extreme),replication,2007-12-26,GCST000129,Metabolic disorder,#d53e4f
10438,European,929.0,18159244.0,Hinney A,Obesity (early onset extreme),initial,2007-12-26,GCST000129,Metabolic disorder,#d53e4f
10439,European,2834.0,18073375.0,Duggan D,Prostate cancer,initial,2007-12-19,GCST000128,Cancer,#d53e4f
10440,African Am./Caribbean,556.0,18073375.0,Duggan D,Prostate cancer,replication,2007-12-19,GCST000128,Cancer,#fee08b
10441,European,1603.0,18073375.0,Duggan D,Prostate cancer,replication,2007-12-19,GCST000128,Cancer,#d53e4f
10442,European,2225.0,18084291.0,van Es MA,Amyotrophic lateral sclerosis,replication,2007-12-16,GCST000127,Neurological disorder,#d53e4f
10443,European,1458.0,18084291.0,van Es MA,Amyotrophic lateral sclerosis,initial,2007-12-16,GCST000127,Neurological disorder,#d53e4f
10444,European,432.0,18057069.0,Cronin S,Amyotrophic lateral sclerosis,initial,2007-12-07,GCST000126,Neurological disorder,#d53e4f
10445,European,1458.0,18057069.0,Cronin S,Amyotrophic lateral sclerosis,replication,2007-12-07,GCST000126,Neurological disorder,#d53e4f
10446,Asian,100.0,18075462.0,Suzuki S,Coronary spasm,initial,2007-11-17,GCST000125,Cardiovascular disease,#3288bd
10447,Asian,311.0,18075462.0,Suzuki S,Coronary spasm,replication,2007-11-17,GCST000125,Cardiovascular disease,#3288bd
10448,European,1489.0,17998437.0,Li H,Alzheimer's disease,initial,2007-11-12,GCST000124,Neurological disorder,#d53e4f
10449,European,667.0,17998437.0,Li H,Alzheimer's disease,replication,2007-11-12,GCST000124,Neurological disorder,#d53e4f
10450,European,1079.0,17903300.0,Fox CS,Waist circumference,initial,2007-09-19,GCST000084,Body measurement,#d53e4f
10451,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Other measurement,#d53e4f
10452,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Liver enzyme measurement,#d53e4f
10453,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Cardiovascular measurement,#d53e4f
10454,European,1012.0,17903293.0,Benjamin EJ,Select biomarker traits,initial,2007-09-19,GCST000083,Inflammatory measurement,#d53e4f
10455,Hispanic/Latin American,603.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Metabolic disorder,#807dba
10456,Other/Mixed,634.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Metabolic disorder,#99d594
10457,European,4815.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Metabolic disorder,#d53e4f
10458,European,1087.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,initial,2007-09-10,GCST000073,Metabolic disorder,#d53e4f
10459,Hispanic/Latin American,603.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,#807dba
10460,Other/Mixed,634.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,#99d594
10461,European,4815.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,replication,2007-09-10,GCST000073,Other measurement,#d53e4f
10462,European,1087.0,17848626.0,Florez JC,Type 2 diabetes and 6 quantitative traits,initial,2007-09-10,GCST000073,Other measurement,#d53e4f
10463,Hispanic/Latin American,561.0,17846124.0,Hayes MG,Type 2 diabetes,initial,2007-09-10,GCST000075,Metabolic disorder,#807dba
10464,European,1506.0,17846124.0,Hayes MG,Type 2 diabetes,replication,2007-09-10,GCST000075,Metabolic disorder,#d53e4f
10465,Other/Mixed,895.0,17846124.0,Hayes MG,Type 2 diabetes,replication,2007-09-10,GCST000075,Metabolic disorder,#99d594
10466,European,4305.0,17997608.0,Li S,Urate levels,initial,2007-11-09,GCST000123,Metabolic disorder,#d53e4f
10467,European,1301.0,17997608.0,Li S,Urate levels,replication,2007-11-09,GCST000123,Metabolic disorder,#d53e4f
10468,European,4305.0,17997608.0,Li S,Urate levels,initial,2007-11-09,GCST000123,Other measurement,#d53e4f
10469,European,1301.0,17997608.0,Li S,Urate levels,replication,2007-11-09,GCST000123,Other measurement,#d53e4f
10470,European,397.0,17982456.0,Plenge RM,Rheumatoid arthritis,initial,2007-11-04,GCST000122,Immune system disorder,#d53e4f
10472,European,1707.0,17982456.0,Plenge RM,Rheumatoid arthritis,replication,2007-11-04,GCST000122,Immune system disorder,#d53e4f
10475,,,,,Skin sensitivity to sun,,,GCST000116,Immune system disorder,black
10476,,,,,Blue vs. brown eyes,,,GCST000120,Other trait,black
10477,,,,,Blue vs. green eyes,,,GCST000117,Other trait,black
10478,European,2986.0,17952075.0,Sulem P,Blond vs. brown hair color,initial,2007-10-21,GCST000118,Other trait,#d53e4f
10479,European,3932.0,17952075.0,Sulem P,Blond vs. brown hair color,replication,2007-10-21,GCST000118,Other trait,#d53e4f
10480,,,,,Freckles,,,GCST000119,Other trait,black
10481,,,,,Red vs non-red hair color,,,GCST000115,Other trait,black
10482,Asian,231.0,17999355.0,Stokowski RP,Skin pigmentation,replication,2007-10-15,GCST000114,Other trait,#3288bd
10483,Asian,737.0,17999355.0,Stokowski RP,Skin pigmentation,initial,2007-10-15,GCST000114,Other trait,#3288bd
10484,Asian,231.0,17999355.0,Stokowski RP,Skin pigmentation,replication,2007-10-15,GCST000114,Other measurement,#3288bd
10485,Asian,737.0,17999355.0,Stokowski RP,Skin pigmentation,initial,2007-10-15,GCST000114,Other measurement,#3288bd
10486,European,13475.0,17934461.0,Broderick P,Colorectal cancer,replication,2007-10-14,GCST000113,Cancer,#d53e4f
10487,European,1890.0,17934461.0,Broderick P,Colorectal cancer,initial,2007-10-14,GCST000113,Cancer,#d53e4f
10488,European,165.0,17911428.0,Cervino AC,Lupus,initial,2007-10-08,GCST000112,Immune system disorder,#d53e4f
10489,European,1341.0,17903300.0,Fox CS,Body mass index,initial,2007-09-19,GCST000090,Body measurement,#d53e4f
10490,European,1341.0,17903300.0,Fox CS,Body mass index,initial,2007-09-19,GCST000090,Other measurement,#d53e4f
10494,European,3206.0,17554261.0,Parkes M,Crohn's disease,replication,2007-06-06,GCST000039,Digestive system disorder,#d53e4f
10495,European,5000.0,17554260.0,Todd JA,Type 1 diabetes,initial,2007-06-06,GCST000038,Metabolic disorder,#d53e4f
10496,European,17991.0,17554260.0,Todd JA,Type 1 diabetes,replication,2007-06-06,GCST000038,Metabolic disorder,#d53e4f
10497,European,2287.0,17529973.0,Hunter DJ,Breast cancer,initial,2007-05-27,GCST000036,Cancer,#d53e4f
10498,Other/Mixed,896.0,17529973.0,Hunter DJ,Breast cancer,replication,2007-05-27,GCST000036,Cancer,#99d594
10499,European,2352.0,17529973.0,Hunter DJ,Breast cancer,replication,2007-05-27,GCST000036,Cancer,#d53e4f
10500,European,48565.0,17529967.0,Easton DF,Breast cancer,replication,2007-05-27,GCST000035,Cancer,#d53e4f
10501,Asian,7928.0,17529967.0,Easton DF,Breast cancer,replication,2007-05-27,GCST000035,Cancer,#3288bd
10502,European,754.0,17529967.0,Easton DF,Breast cancer,initial,2007-05-27,GCST000035,Cancer,#d53e4f
10503,Hispanic/Latin American,840.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,#807dba
10504,African Am./Caribbean,870.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,#fee08b
10505,Asian,1126.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,#3288bd
10506,European,8921.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,#d53e4f
10507,European,13145.0,17529974.0,Stacey SN,Breast cancer,initial,2007-05-27,GCST000037,Cancer,#d53e4f
10508,Other/Mixed,441.0,17529974.0,Stacey SN,Breast cancer,replication,2007-05-27,GCST000037,Cancer,#99d594
10509,European,26.0,17505501.0,Kindmark A,Response to ximelagatran treatment (increased serum alanine aminotransferase levels),replication,2007-05-15,GCST000034,Liver enzyme measurement,#d53e4f
10510,European,204.0,17505501.0,Kindmark A,Response to ximelagatran treatment (increased serum alanine aminotransferase levels),initial,2007-05-15,GCST000034,Liver enzyme measurement,#d53e4f
10511,European,26.0,17505501.0,Kindmark A,Response to ximelagatran treatment (increased serum alanine aminotransferase levels),replication,2007-05-15,GCST000034,Response to drug,#d53e4f
10512,European,204.0,17505501.0,Kindmark A,Response to ximelagatran treatment (increased serum alanine aminotransferase levels),initial,2007-05-15,GCST000034,Response to drug,#d53e4f
10513,European,8686.0,17460697.0,Steinthorsdottir V,Type 2 diabetes,initial,2007-04-26,GCST000027,Metabolic disorder,#d53e4f
10514,European,9461.0,17460697.0,Steinthorsdottir V,Type 2 diabetes,replication,2007-04-26,GCST000027,Metabolic disorder,#d53e4f
10515,European,2335.0,17463248.0,Scott LJ,Type 2 diabetes,initial,2007-04-26,GCST000024,Metabolic disorder,#d53e4f
10516,European,2473.0,17463248.0,Scott LJ,Type 2 diabetes,replication,2007-04-26,GCST000024,Metabolic disorder,#d53e4f
10519,European,10657.0,17434869.0,Frayling TM,Body mass index,initial,2007-04-12,GCST000022,Body measurement,#d53e4f
10520,European,29596.0,17434869.0,Frayling TM,Body mass index,replication,2007-04-12,GCST000022,Body measurement,#d53e4f
10521,European,10657.0,17434869.0,Frayling TM,Body mass index,initial,2007-04-12,GCST000022,Other measurement,#d53e4f
10522,European,29596.0,17434869.0,Frayling TM,Body mass index,replication,2007-04-12,GCST000022,Other measurement,#d53e4f
10523,European,454.0,17407593.0,Uhl GR,Nicotine dependence,initial,2007-04-03,GCST000021,Neurological disorder,#d53e4f
10524,African Am./Caribbean,745.0,17401366.0,Gudmundsson J,Prostate cancer,replication,2007-04-01,GCST000019,Cancer,#fee08b
10525,European,3655.0,17401366.0,Gudmundsson J,Prostate cancer,replication,2007-04-01,GCST000019,Cancer,#d53e4f
10526,European,4517.0,17401366.0,Gudmundsson J,Prostate cancer,initial,2007-04-01,GCST000019,Cancer,#d53e4f
10527,Other/Mixed,207.0,17395743.0,Hanson RL,End-stage renal disease,initial,2007-04-01,GCST000020,Other disease,#99d594
10528,European,6266.0,17401363.0,Yeager M,Prostate cancer,replication,2007-04-01,GCST000017,Cancer,#d53e4f
10529,European,2329.0,17401363.0,Yeager M,Prostate cancer,initial,2007-04-01,GCST000017,Cancer,#d53e4f
10530,European,1086.0,17474819.0,Coon KD,Alzheimer's disease (late onset),initial,2007-04-01,GCST000018,Neurological disorder,#d53e4f
10531,European,322.0,17522711.0,Lencz T,Schizophrenia,initial,2007-03-20,GCST000016,Neurological disorder,#d53e4f
10532,European,632.0,17357082.0,Melquist S,Progressive supranuclear palsy,initial,2007-03-08,GCST000015,Neurological disorder,#d53e4f
10533,European,604.0,17357082.0,Melquist S,Progressive supranuclear palsy,replication,2007-03-08,GCST000015,Neurological disorder,#d53e4f
10534,European,1475.0,17447842.0,Libioulle C,Crohn's disease,initial,2007-03-05,GCST000014,Digestive system disorder,#d53e4f
10535,European,3109.0,17447842.0,Libioulle C,Crohn's disease,replication,2007-03-05,GCST000014,Digestive system disorder,#d53e4f
10536,European,547.0,17362836.0,Schymick JC,Amyotrophic lateral sclerosis,initial,2007-02-20,GCST000013,Neurological disorder,#d53e4f
10537,European,1275.0,17293876.0,Sladek R,Type 2 diabetes,initial,2007-02-11,GCST000012,Metabolic disorder,#d53e4f
10538,European,5511.0,17293876.0,Sladek R,Type 2 diabetes,replication,2007-02-11,GCST000012,Metabolic disorder,#d53e4f
10539,European,673.0,17223258.0,Spinola M,Lung cancer,initial,2007-01-16,GCST000011,Cancer,#d53e4f
10540,European,621.0,17223258.0,Spinola M,Lung cancer,replication,2007-01-16,GCST000011,Cancer,#d53e4f
10541,European,981.0,17158188.0,Bierut LJ,Nicotine dependence,replication,2006-12-07,GCST000010,Neurological disorder,#d53e4f
10542,European,948.0,17158188.0,Bierut LJ,Nicotine dependence,initial,2006-12-07,GCST000010,Neurological disorder,#d53e4f
10543,African Am./Caribbean,920.0,17099884.0,Liu QR,Addiction,initial,2006-12-05,GCST000009,Neurological disorder,#fee08b
10544,European,740.0,17099884.0,Liu QR,Addiction,initial,2006-12-05,GCST000009,Neurological disorder,#d53e4f
10545,Other/Mixed,1584.0,17068223.0,Duerr RH,Inflammatory bowel disease,replication,2006-10-26,GCST000008,Digestive system disorder,#99d594
10546,European,1095.0,17068223.0,Duerr RH,Inflammatory bowel disease,initial,2006-10-26,GCST000008,Digestive system disorder,#d53e4f
10547,Other/Mixed,1584.0,17068223.0,Duerr RH,Inflammatory bowel disease,replication,2006-10-26,GCST000008,Immune system disorder,#99d594
10548,European,1095.0,17068223.0,Duerr RH,Inflammatory bowel disease,initial,2006-10-26,GCST000008,Immune system disorder,#d53e4f
10549,European,662.0,17053149.0,Papassotiropoulos A,Memory performance,replication,2006-10-20,GCST000007,Other measurement,#d53e4f
10550,Other/Mixed,18.0,17053149.0,Papassotiropoulos A,Memory performance,replication,2006-10-20,GCST000007,Other measurement,#99d594
10551,European,341.0,17053149.0,Papassotiropoulos A,Memory performance,initial,2006-10-20,GCST000007,Other measurement,#d53e4f
10552,European,1648.0,17486107.0,Baum AE,Bipolar disorder,replication,2007-05-08,GCST000033,Neurological disorder,#d53e4f
10553,European,1024.0,17486107.0,Baum AE,Bipolar disorder,initial,2007-05-08,GCST000033,Neurological disorder,#d53e4f
10554,European,517.0,17434096.0,Matarin M,Stroke,initial,2007-05-06,GCST000032,Cardiovascular disease,#d53e4f
10555,European,634.0,17478681.0,McPherson R,Coronary heart disease,initial,2007-05-03,GCST000031,Cardiovascular disease,#d53e4f
10556,European,23791.0,17478681.0,McPherson R,Coronary heart disease,replication,2007-05-03,GCST000031,Cardiovascular disease,#d53e4f
10557,European,9289.0,17478679.0,Helgadottir A,Myocardial infarction,replication,2007-05-03,GCST000030,Cardiovascular disease,#d53e4f
10558,European,8335.0,17478679.0,Helgadottir A,Myocardial infarction,initial,2007-05-03,GCST000030,Cardiovascular disease,#d53e4f
10559,European,472.0,17470457.0,Huentelman MJ,Episodic memory,replication,2007-04-30,GCST000029,Biological process,#d53e4f
10560,European,341.0,17470457.0,Huentelman MJ,Episodic memory,initial,2007-04-30,GCST000029,Biological process,#d53e4f
10561,European,4862.0,17463249.0,Zeggini E,Type 2 diabetes,initial,2007-04-26,GCST000025,Metabolic disorder,#d53e4f
10562,European,9103.0,17463249.0,Zeggini E,Type 2 diabetes,replication,2007-04-26,GCST000025,Metabolic disorder,#d53e4f
10563,Asian,226.0,17053108.0,Dewan A,Age-related macular degeneration (wet),initial,2006-10-19,GCST000006,Neurological disorder,#3288bd
10564,European,537.0,17052657.0,Fung HC,Parkinson's disease,initial,2006-09-28,GCST000005,Neurological disorder,#d53e4f
10565,European,200.0,16648850.0,Arking DE,QT interval,initial,2006-04-30,GCST000004,Cardiovascular measurement,#d53e4f
10566,European,4851.0,16648850.0,Arking DE,QT interval,replication,2006-04-30,GCST000004,Cardiovascular measurement,#d53e4f
10567,African Am./Caribbean,866.0,16614226.0,Herbert A,Obesity,replication,2006-04-14,GCST000003,Other measurement,#fee08b
10568,European,10527.0,16614226.0,Herbert A,Obesity,replication,2006-04-14,GCST000003,Other measurement,#d53e4f
10571,African Am./Caribbean,866.0,16614226.0,Herbert A,Obesity,replication,2006-04-14,GCST000003,Metabolic disorder,#fee08b
10572,European,10527.0,16614226.0,Herbert A,Obesity,replication,2006-04-14,GCST000003,Metabolic disorder,#d53e4f
10575,Asian,1.0,16252231.0,Maraganore DM,Parkinson's disease,replication,2005-09-09,GCST000002,Neurological disorder,#3288bd
10576,Other/Mixed,122.0,16252231.0,Maraganore DM,Parkinson's disease,replication,2005-09-09,GCST000002,Neurological disorder,#99d594
10577,European,541.0,16252231.0,Maraganore DM,Parkinson's disease,replication,2005-09-09,GCST000002,Neurological disorder,#d53e4f
10578,European,744.0,16252231.0,Maraganore DM,Parkinson's disease,initial,2005-09-09,GCST000002,Neurological disorder,#d53e4f
10579,Other/Mixed,141.0,16252231.0,Maraganore DM,Parkinson's disease,initial,2005-09-09,GCST000002,Neurological disorder,#99d594
10580,Asian,1.0,16252231.0,Maraganore DM,Parkinson's disease,initial,2005-09-09,GCST000002,Neurological disorder,#3288bd
10581,European,146.0,15761122.0,Klein RJ,Age-related macular degeneration,initial,2005-03-10,GCST000001,Neurological disorder,#d53e4f
10582,European,1300.0,22229870.0,Karns R,Uric acid levels,initial,2012-01-09,GCST001374,Cardiovascular measurement,#d53e4f
10583,Asian,4160.0,22232737.0,Shu XO,Breast cancer (survival),replication,2012-01-09,GCST001373,Other measurement,#3288bd
10584,Asian,1950.0,22232737.0,Shu XO,Breast cancer (survival),initial,2012-01-09,GCST001373,Other measurement,#3288bd
10585,Asian,4160.0,22232737.0,Shu XO,Breast cancer (survival),replication,2012-01-09,GCST001373,Cancer,#3288bd
10586,Asian,1950.0,22232737.0,Shu XO,Breast cancer (survival),initial,2012-01-09,GCST001373,Cancer,#3288bd
10587,European,757.0,22245343.0,Meda SA,Alzheimer's disease,initial,2012-01-08,GCST001372,Neurological disorder,#d53e4f
10588,European,1092.0,22228203.0,Aslibekyan S,Inflammatory biomarkers,initial,2012-01-05,GCST001371,Other measurement,#d53e4f
10589,European,1092.0,22228203.0,Aslibekyan S,Inflammatory biomarkers,initial,2012-01-05,GCST001371,Inflammatory measurement,#d53e4f
10590,European,1092.0,22228203.0,Aslibekyan S,Inflammatory biomarkers,initial,2012-01-05,GCST001371,Response to drug,#d53e4f
10591,European,9515.0,22219177.0,Tao S,Prostate cancer (SNP x SNP interaction),initial,2012-01-04,GCST001370,Cancer,#d53e4f
10592,European,9515.0,22219177.0,Tao S,Prostate cancer (SNP x SNP interaction),initial,2012-01-04,GCST001370,Other measurement,#d53e4f
10593,African Am./Caribbean,4455.0,22238593.0,Palmer ND,Type 2 diabetes,replication,2012-01-04,GCST001369,Metabolic disorder,#fee08b
10594,African Am./Caribbean,1994.0,22238593.0,Palmer ND,Type 2 diabetes,initial,2012-01-04,GCST001369,Metabolic disorder,#fee08b
10595,African Am./Caribbean,82.0,22864933.0,O'Donnell PH,Capecitabine sensitivity,initial,2012-01-03,GCST001368,Response to drug,#fee08b
10596,European,164.0,22864933.0,O'Donnell PH,Capecitabine sensitivity,initial,2012-01-03,GCST001368,Response to drug,#d53e4f
10597,Asian,84.0,22864933.0,O'Donnell PH,Capecitabine sensitivity,initial,2012-01-03,GCST001368,Response to drug,#3288bd
10598,African,173.0,22864933.0,O'Donnell PH,Capecitabine sensitivity,initial,2012-01-03,GCST001368,Response to drug,#fc8d59
10599,Other/Mixed,576.0,22210626.0,Mead S,Prion diseases,initial,2011-12-30,GCST001366,Neurological disorder,#99d594
10600,European,7296.0,22210626.0,Mead S,Prion diseases,initial,2011-12-30,GCST001366,Neurological disorder,#d53e4f
10601,Asian,1496.0,22171074.0,Tan A,Triglycerides,replication,2011-12-30,GCST001367,Lipid or lipoprotein measurement,#3288bd
10602,Asian,1999.0,22171074.0,Tan A,Triglycerides,initial,2011-12-30,GCST001367,Lipid or lipoprotein measurement,#3288bd
10603,African Am./Caribbean,704.0,22205395.0,Tekola Ayele F,Interleukin-10 levels,initial,2011-12-29,GCST006102,Inflammatory measurement,#fee08b
10604,African,425.0,22205395.0,Tekola Ayele F,Interleukin-10 levels,replication,2011-12-29,GCST006102,Inflammatory measurement,#fc8d59
10605,Asian,2139.0,22144915.0,Fan Q,Corneal astigmatism,replication,2011-12-01,GCST001339,Neurological disorder,#3288bd
10606,Asian,2016.0,22144915.0,Fan Q,Corneal astigmatism,initial,2011-12-01,GCST001339,Neurological disorder,#3288bd
10607,Asian,2238.0,22144915.0,Fan Q,Corneal astigmatism,initial,2011-12-01,GCST001339,Neurological disorder,#3288bd
10608,Asian,2120.0,22144915.0,Fan Q,Corneal astigmatism,replication,2011-12-01,GCST001339,Neurological disorder,#3288bd
10609,Asian,2139.0,22144915.0,Fan Q,Corneal astigmatism,replication,2011-12-01,GCST001339,Other trait,#3288bd
10610,Asian,2016.0,22144915.0,Fan Q,Corneal astigmatism,initial,2011-12-01,GCST001339,Other trait,#3288bd
10611,Asian,2238.0,22144915.0,Fan Q,Corneal astigmatism,initial,2011-12-01,GCST001339,Other trait,#3288bd
10612,Asian,2120.0,22144915.0,Fan Q,Corneal astigmatism,replication,2011-12-01,GCST001339,Other trait,#3288bd
10613,European,1597.0,22137330.0,Sanchez-Juan P,Creutzfeldt-Jakob disease (variant),initial,2011-11-30,GCST001334,Neurological disorder,#d53e4f
10614,European,42.0,22137330.0,Sanchez-Juan P,Creutzfeldt-Jakob disease (variant),replication,2011-11-30,GCST001334,Neurological disorder,#d53e4f
10615,European,48666.0,22139419.0,Gieger C,Platelet count,initial,2011-11-30,GCST001337,Hematological measurement,#d53e4f
10616,European,18838.0,22139419.0,Gieger C,Platelet count,replication,2011-11-30,GCST001337,Hematological measurement,#d53e4f
10617,European,18600.0,22139419.0,Gieger C,Mean platelet volume,initial,2011-11-30,GCST001335,Hematological measurement,#d53e4f
10618,European,18838.0,22139419.0,Gieger C,Mean platelet volume,replication,2011-11-30,GCST001335,Hematological measurement,#d53e4f
10619,Hispanic/Latin American,3468.0,22131368.0,Chen CT,Menarche and menopause (age at onset),initial,2011-11-30,GCST001336,Other measurement,#807dba
10620,Asian,182.0,22118420.0,Datta S,Bilirubin levels,initial,2011-11-28,GCST001333,Other measurement,#3288bd
10621,European,700.0,22126837.0,LeBlanc M,Cognitive function,initial,2011-11-28,GCST001332,Biological process,#d53e4f
10622,European,700.0,22126837.0,LeBlanc M,Cognitive function,initial,2011-11-28,GCST001332,Other measurement,#d53e4f
10623,European,7578.0,22120009.0,Broderick P,Multiple myeloma,initial,2011-11-27,GCST001331,Cancer,#d53e4f
10624,European,1096.0,22120009.0,Broderick P,Multiple myeloma,replication,2011-11-27,GCST001331,Cancer,#d53e4f
10625,Asian,3451.0,22116939.0,Guo Y,Epilepsy,initial,2011-11-24,GCST001329,Neurological disorder,#3288bd
10626,Asian,1080.0,22116939.0,Guo Y,Epilepsy,replication,2011-11-24,GCST001329,Neurological disorder,#3288bd
10627,European,232.0,22116950.0,Schuh-Huerta SM,Ovarian reserve,initial,2011-11-24,GCST001330,Other measurement,#d53e4f
10628,African Am./Caribbean,200.0,22116950.0,Schuh-Huerta SM,Ovarian reserve,initial,2011-11-24,GCST001330,Other measurement,#fee08b
10629,African Am./Caribbean,706.0,22205395.0,Tekola Ayele F,Interleukin-1-receptor antagonist levels,initial,2011-12-29,GCST006104,Inflammatory measurement,#fee08b
10630,African Am./Caribbean,704.0,22205395.0,Tekola Ayele F,Interleukin-6 levels,initial,2011-12-29,GCST006103,Inflammatory measurement,#fee08b
10631,European,397.0,22216198.0,Athanasiadis G,Anticoagulant levels,initial,2011-12-28,GCST001365,Other measurement,#d53e4f
10632,European,397.0,22216198.0,Athanasiadis G,Anticoagulant levels,initial,2011-12-28,GCST001365,Hematological measurement,#d53e4f
10633,Asian,6023.0,22197933.0,Hu Z,Non-obstructive azoospermia,replication,2011-12-25,GCST001362,Other disease,#3288bd
10634,Asian,2638.0,22197933.0,Hu Z,Non-obstructive azoospermia,initial,2011-12-25,GCST001362,Other disease,#3288bd
10635,Asian,5704.0,22197929.0,Yu XQ,IgA nephropathy,initial,2011-12-25,GCST001364,Other disease,#3288bd
10636,Asian,6167.0,22197929.0,Yu XQ,IgA nephropathy,replication,2011-12-25,GCST001364,Other disease,#3288bd
10637,European,25252.0,22197932.0,Paternoster L,Atopic dermatitis,replication,2011-12-25,GCST001363,Immune system disorder,#d53e4f
10638,European,26171.0,22197932.0,Paternoster L,Atopic dermatitis,initial,2011-12-25,GCST001363,Immune system disorder,#d53e4f
10639,European,16717.0,22199011.0,Murabito JM,Ankle-brachial index,replication,2011-12-23,GCST001361,Cardiovascular measurement,#d53e4f
10640,European,41692.0,22199011.0,Murabito JM,Ankle-brachial index,initial,2011-12-23,GCST001361,Cardiovascular measurement,#d53e4f
10641,European,2034.0,22205951.0,Kerner B,Bipolar disorder,initial,2011-12-21,GCST001359,Neurological disorder,#d53e4f
10642,Asian,980.0,22188591.0,Anantharaman R,Asthma,initial,2011-12-21,GCST001360,Other disease,#3288bd
10643,Asian,1045.0,22188591.0,Anantharaman R,Asthma,replication,2011-12-21,GCST001360,Other disease,#3288bd
10644,European,12755.0,22182935.0,Chen DT,Bipolar disorder,initial,2011-12-20,GCST001358,Neurological disorder,#d53e4f
10645,Asian,2000.0,22182935.0,Chen DT,Bipolar disorder,initial,2011-12-20,GCST001358,Neurological disorder,#3288bd
10646,European,3843.0,22182935.0,Chen DT,Bipolar disorder,replication,2011-12-20,GCST001358,Neurological disorder,#d53e4f
10648,European,5421.0,22080838.0,Cho MH,Chronic obstructive pulmonary disease,initial,2011-11-11,GCST001321,Other disease,#d53e4f
10649,European,2050.0,22075249.0,Tang WH,Serum ceruloplasmin levels,replication,2011-11-10,GCST001318,Other measurement,#d53e4f
10650,European,2647.0,22075249.0,Tang WH,Serum ceruloplasmin levels,initial,2011-11-10,GCST001318,Other measurement,#d53e4f
10651,European,7809.0,22075330.0,Granada M,IgE levels,replication,2011-11-08,GCST001316,Other measurement,#d53e4f
10652,European,6819.0,22075330.0,Granada M,IgE levels,initial,2011-11-08,GCST001316,Other measurement,#d53e4f
10653,European,5306.0,22068335.0,Mitchell GF,Aortic stiffness,replication,2011-11-08,GCST001317,Cardiovascular measurement,#d53e4f
10654,European,20634.0,22068335.0,Mitchell GF,Aortic stiffness,initial,2011-11-08,GCST001317,Cardiovascular measurement,#d53e4f
10655,European,2286.0,22087292.0,Sun L,Femoral neck bone geometry,replication,2011-11-07,GCST001315,Other measurement,#d53e4f
10656,Asian,1627.0,22087292.0,Sun L,Femoral neck bone geometry,initial,2011-11-07,GCST001315,Other measurement,#3288bd
10657,Asian,3310.0,22065538.0,Morisaki H,Adiponectin levels,initial,2011-11-07,GCST001314,Other measurement,#3288bd
10658,Asian,620.0,22057235.0,Trynka G,Celiac disease,initial,2011-11-06,GCST005523,Immune system disorder,#3288bd
10659,European,23649.0,22057235.0,Trynka G,Celiac disease,initial,2011-11-06,GCST005523,Immune system disorder,#d53e4f
10660,European,874.0,22064162.0,Edwards AC,Depression and alcohol dependence,initial,2011-11-05,GCST001313,Neurological disorder,#d53e4f
10663,European,40011.0,22055160.0,Bown MJ,Abdominal aortic aneurysm,replication,2011-11-04,GCST001312,Cardiovascular disease,#d53e4f
10664,European,7172.0,22055160.0,Bown MJ,Abdominal aortic aneurysm,initial,2011-11-04,GCST001312,Cardiovascular disease,#d53e4f
